id,price,weekly_price,monthly_price
2577,$125.00,,
3109,$75.00,$490.00,
5396,$115.00,$600.00,"$2,000.00"
7397,$115.00,,"$2,200.00"
7964,$99.00,,
8522,$90.00,$600.00,
9359,$75.00,,"$1,480.00"
9952,$70.00,,"$1,300.00"
10010,$135.00,$770.00,
10270,$105.00,$560.00,
10586,$80.00,$475.00,"$1,000.00"
10588,$75.00,$425.00,"$1,000.00"
10710,$85.00,$560.00,"$1,300.00"
11170,$75.00,$539.00,"$1,510.00"
11213,$157.00,$934.00,"$3,297.00"
11265,$100.00,$900.00,"$3,000.00"
11487,$70.00,$400.00,"$1,000.00"
11798,$100.00,$750.00,
11848,$79.00,$650.00,"$2,300.00"
12268,$60.00,$400.00,"$1,500.00"
12452,$90.00,,
14011,$95.00,,
14264,$110.00,$600.00,"$2,100.00"
14757,$75.00,$490.00,
16455,$55.00,,
16457,$78.00,$500.00,"$2,000.00"
16469,$59.00,$449.00,"$1,350.00"
16626,$125.00,,
17283,$105.00,$750.00,"$2,000.00"
17287,$89.00,,
17316,$80.00,$600.00,"$1,800.00"
17918,$110.00,$800.00,
17919,$65.00,$400.00,
17994,$250.00,,
19150,$80.00,$560.00,
19306,$98.00,,"$3,500.00"
20823,$120.00,,"$4,200.00"
21004,$190.00,"$1,200.00","$4,000.00"
21167,$55.00,$400.00,
21194,$98.00,$670.00,
21264,$80.00,$550.00,"$2,000.00"
21282,$49.00,$403.00,"$1,700.00"
21419,$120.00,$770.00,"$3,600.00"
21860,$63.00,$460.00,"$1,245.00"
22384,$85.00,$600.00,
22528,$97.00,$650.00,"$2,400.00"
22888,$110.00,$700.00,
22979,$70.00,$490.00,
23441,$70.00,$350.00,"$1,050.00"
23502,$47.00,,
23742,$100.00,$600.00,"$1,700.00"
24260,$76.00,,
25819,$190.00,,
26084,$79.00,$510.00,"$1,800.00"
26278,$72.00,$450.00,"$1,650.00"
26562,$120.00,,
26567,$49.00,$180.00,$700.00
26827,$80.00,$550.00,"$1,300.00"
26939,$76.00,,"$1,200.00"
26973,$900.00,,
27008,$50.00,,
27288,$120.00,$600.00,
27486,$75.00,$420.00,"$1,400.00"
28652,$159.00,,
28829,$55.00,$330.00,"$1,020.00"
29108,$68.00,$580.00,"$1,913.00"
29713,$50.00,,
30969,$175.00,,
31435,$80.00,$560.00,"$2,400.00"
31893,$70.00,$500.00,
