id,room_type,minimum_nights,number_of_reviews,host_listings_count,availability_30,availability_60,availability_90,availability_365,neighbourhood
12452,Entire home/apt,4,9,1.0,0,0,0,0,XI Arrondissement
21264,Entire home/apt,5,19,1.0,0,0,0,0,XI Arrondissement
22528,Entire home/apt,3,3,1.0,0,0,0,0,Buttes-Chaumont - Belleville
26973,Entire home/apt,3,0,1.0,0,0,0,0,La Villette
28829,Entire home/apt,4,11,1.0,0,0,0,0,Porte de Clignancourt
31893,Entire home/apt,6,52,1.0,0,0,0,0,
42698,Entire home/apt,4,154,1.0,0,0,0,0,Pantheon
45175,Private room,3,0,1.0,0,0,0,0,Buttes-Chaumont - Belleville
45967,Entire home/apt,5,33,1.0,0,0,0,0,Palais Royal
46666,Entire home/apt,4,33,1.0,0,0,0,0,Pere Lachaise - Menilmontant
50677,Entire home/apt,4,109,1.0,0,0,0,0,Le Marais
59508,Entire home/apt,1,3,1.0,0,0,0,0,Alesia
60165,Entire home/apt,3,34,1.0,0,0,0,0,La Chapelle
72895,Entire home/apt,2,12,1.0,0,0,0,0,X Arrondissement
80260,Entire home/apt,2,193,1.0,0,0,0,0,Buttes-Chaumont - Belleville
81106,Entire home/apt,3,44,1.0,0,0,0,0,La Chapelle
97992,Entire home/apt,3,18,1.0,0,0,0,0,Montmartre
102527,Entire home/apt,6,2,1.0,0,0,0,0,Porte de Versailles
113011,Entire home/apt,7,4,1.0,0,0,0,0,Buttes-Chaumont - Belleville
114543,Entire home/apt,3,31,1.0,0,0,0,0,
128423,Entire home/apt,3,110,1.0,0,0,0,0,Montmartre
132994,Entire home/apt,3,35,1.0,0,0,0,0,Le Marais
140211,Private room,1,0,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
179149,Entire home/apt,4,0,1.0,0,0,0,0,Bastille
179604,Entire home/apt,2,34,1.0,0,0,0,0,Le Marais
180331,Entire home/apt,2,142,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
189589,Private room,1,31,1.0,0,0,0,0,Canal Saint-Martin
191531,Entire home/apt,1,0,1.0,0,0,0,0,III Arrondissement
200947,Entire home/apt,4,78,1.0,0,0,0,0,II Arrondissement
206216,Entire home/apt,3,12,1.0,0,0,0,0,Porte de Clignancourt
206625,Entire home/apt,2,4,1.0,0,0,0,0,Bastille
214596,Entire home/apt,6,0,1.0,0,0,0,0,Alesia
219564,Entire home/apt,7,5,1.0,0,0,0,0,Saint-Lazare
226556,Private room,3,21,1.0,0,0,0,0,Le Marais
227846,Entire home/apt,2,5,1.0,0,0,0,0,Montmartre
232437,Entire home/apt,5,95,1.0,0,0,0,0,Buttes-Chaumont - Belleville
233401,Private room,4,16,1.0,0,0,0,0,La Villette
234247,Entire home/apt,7,1,1.0,0,0,0,0,Pere Lachaise - Menilmontant
240434,Entire home/apt,6,1,1.0,0,0,0,0,Batignolles
244858,Entire home/apt,3,57,1.0,0,0,0,0,Pere Lachaise - Menilmontant
246047,Entire home/apt,3,37,1.0,0,0,0,0,Tour Eiffel - Champ de Mars
249304,Entire home/apt,7,0,1.0,0,0,0,0,XI Arrondissement
262455,Entire home/apt,2,252,1.0,0,0,0,0,Palais Royal
263389,Entire home/apt,5,248,1.0,0,0,0,0,III Arrondissement
266838,Entire home/apt,1,1,1.0,0,0,0,0,XI Arrondissement
268302,Entire home/apt,3,11,1.0,0,0,0,0,
273662,Entire home/apt,2,0,1.0,0,0,0,0,Montmartre
273780,Entire home/apt,3,28,1.0,0,0,0,0,Louvre - Tuileries
274576,Entire home/apt,3,6,1.0,0,0,0,0,La Chapelle
274731,Entire home/apt,3,8,1.0,0,0,0,0,III Arrondissement
277915,Entire home/apt,5,1,1.0,0,0,0,0,II Arrondissement
278472,Entire home/apt,2,16,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
281357,Entire home/apt,7,37,1.0,0,0,0,0,Buttes-Chaumont - Belleville
281420,Entire home/apt,2,2,1.0,0,0,0,0,Montmartre
283632,Entire home/apt,2,30,1.0,0,0,0,0,III Arrondissement
285108,Private room,3,0,1.0,0,0,0,0,Buttes-Chaumont - Belleville
286005,Private room,2,0,1.0,0,0,0,0,Pere Lachaise - Menilmontant
286364,Entire home/apt,1,6,1.0,0,0,0,0,Buttes-Chaumont - Belleville
287690,Entire home/apt,5,5,1.0,0,0,0,0,Batignolles
288842,Entire home/apt,3,5,1.0,0,0,0,0,Bastille
291235,Entire home/apt,2,145,1.0,0,0,0,0,Place d'Italie - Quartier Chinois
297901,Entire home/apt,4,5,1.0,0,0,0,0,Montmartre
309092,Entire home/apt,3,89,1.0,0,0,0,0,Palais Royal
311483,Entire home/apt,5,4,1.0,0,0,0,0,Republique
311659,Entire home/apt,1,12,1.0,0,0,0,0,Porte de Clignancourt
312477,Entire home/apt,2,1,1.0,0,0,0,0,Alesia
316090,Entire home/apt,3,5,1.0,0,0,0,0,Place d'Italie - Quartier Chinois
320698,Entire home/apt,5,26,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
321300,Entire home/apt,3,0,1.0,0,0,0,0,XI Arrondissement
325119,Entire home/apt,2,15,1.0,0,0,0,0,La Villette
328847,Entire home/apt,6,22,1.0,0,0,0,0,Buttes-Chaumont - Belleville
331500,Entire home/apt,3,15,1.0,0,0,0,0,III Arrondissement
331987,Entire home/apt,1,0,1.0,0,0,0,0,Ternes
338811,Entire home/apt,5,62,1.0,0,0,0,0,XI Arrondissement
339613,Entire home/apt,3,1,1.0,0,0,0,0,Alesia
347698,Entire home/apt,3,89,1.0,0,0,0,0,Le Marais
354372,Entire home/apt,5,1,1.0,0,0,0,0,Republique
354427,Entire home/apt,3,0,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
